,Year,lon,Lat
982,1991-01-01,-3.927145,57.781474
983,2014-01-01,-2.72,57.17
984,2018-01-01,-3.55,56.75
986,2014-01-01,-3.69,57.15
988,1995-01-01,-4.45,57.32
989,1935-01-01,-5.558428,57.175284
990,2007-01-01,-2.45,57.12
992,1991-01-01,-3.927145,57.781474
993,2014-01-01,-2.72,57.17
994,2018-01-01,-3.55,56.75
996,2014-01-01,-3.69,57.15
998,1995-01-01,-4.45,57.32
999,1935-01-01,-5.558428,57.175284
1001,2012-01-01,-2.68,57.61
1004,2013-01-01,-3.18,56.88
1005,2015-01-01,-3.79,57.25
1006,2012-01-01,-2.52,57.03
1009,2013-01-01,-3.32,56.99
1012,1997-01-01,-3.94,56.72
1013,2016-01-01,-5.12,56.22
1014,2013-01-01,-2.71,57.18
1016,2021-01-01,-3.652795,55.23799
1017,1980-01-01,-5.342739,57.626178
1018,2018-01-01,-4.323431,55.946095
1019,2002-01-01,-5.22,58.24
1022,2016-01-01,-4.57,55.04
1023,1994-01-01,-4.26,57.55
1024,1997-01-01,-5.28,58.16
1025,1925-01-01,-5.426637,57.538532
1028,2016-01-01,-2.42,57.03
1029,2006-01-01,-4.18,57.64
1032,1997-01-01,-3.94,56.72
1033,2016-01-01,-5.12,56.22
1034,2013-01-01,-2.71,57.18
1036,2021-01-01,-3.652795,55.23799
1037,1980-01-01,-5.342739,57.626178
1038,2018-01-01,-4.323431,55.946095
1039,2002-01-01,-5.22,58.24
1040,2007-01-01,-2.45,57.12
1042,1991-01-01,-3.927145,57.781474
1043,2014-01-01,-2.72,57.17
1044,2018-01-01,-3.55,56.75
1046,2014-01-01,-3.69,57.15
1048,1995-01-01,-4.45,57.32
1049,1935-01-01,-5.558428,57.175284
1050,2007-01-01,-2.45,57.12
1052,1991-01-01,-3.927145,57.781474
1053,2014-01-01,-2.72,57.17
1054,2018-01-01,-3.55,56.75
1056,2014-01-01,-3.69,57.15
1058,1995-01-01,-4.45,57.32
1059,1935-01-01,-5.558428,57.175284
1061,2012-01-01,-2.68,57.61
1064,2013-01-01,-3.18,56.88
1065,2015-01-01,-3.79,57.25
1066,2012-01-01,-2.52,57.03
1069,2013-01-01,-3.32,56.99
1070,2007-01-01,-2.45,57.12
1072,1991-01-01,-3.927145,57.781474
1073,2014-01-01,-2.72,57.17
1074,2018-01-01,-3.55,56.75
1076,2014-01-01,-3.69,57.15
1078,1995-01-01,-4.45,57.32
1079,1935-01-01,-5.558428,57.175284
1080,2007-01-01,-2.45,57.12
1082,1991-01-01,-3.927145,57.781474
1083,2014-01-01,-2.72,57.17
1084,2018-01-01,-3.55,56.75
1086,2014-01-01,-3.69,57.15
1088,1995-01-01,-4.45,57.32
1089,1935-01-01,-5.558428,57.175284
1090,2007-01-01,-2.45,57.12
1092,1991-01-01,-3.927145,57.781474
1093,2014-01-01,-2.72,57.17
1094,2018-01-01,-3.55,56.75
1096,2014-01-01,-3.69,57.15
1098,1995-01-01,-4.45,57.32
1099,1935-01-01,-5.558428,57.175284
1100,2007-01-01,-2.45,57.12
1102,1991-01-01,-3.927145,57.781474
1103,2014-01-01,-2.72,57.17
1104,2018-01-01,-3.55,56.75
1106,2014-01-01,-3.69,57.15
1108,1995-01-01,-4.45,57.32
1109,1935-01-01,-5.558428,57.175284
1110,2007-01-01,-2.45,57.12
1112,1991-01-01,-3.927145,57.781474
1113,2014-01-01,-2.72,57.17
1114,2018-01-01,-3.55,56.75
1116,2014-01-01,-3.69,57.15
1118,1995-01-01,-4.45,57.32
1119,1935-01-01,-5.558428,57.175284
1120,2007-01-01,-2.45,57.12
1122,1991-01-01,-3.927145,57.781474
1123,2014-01-01,-2.72,57.17
1124,2018-01-01,-3.55,56.75
1126,2014-01-01,-3.69,57.15
1128,1995-01-01,-4.45,57.32
1129,1935-01-01,-5.558428,57.175284
1132,1997-01-01,-3.94,56.72
1133,2016-01-01,-5.12,56.22
1134,2013-01-01,-2.71,57.18
1136,2021-01-01,-3.652795,55.23799
1137,1980-01-01,-5.342739,57.626178
1138,2018-01-01,-4.323431,55.946095
1139,2002-01-01,-5.22,58.24
1141,2014-01-01,-3.85,57.2
1142,2021-01-01,-4.33425,56.125639
1143,2004-01-01,-5.74,57.26
1144,2014-01-01,-2.43,57.11
1147,2018-01-01,-5.46,56.3
1150,2007-01-01,-2.45,57.12
1152,1991-01-01,-3.927145,57.781474
1153,2014-01-01,-2.72,57.17
1154,2018-01-01,-3.55,56.75
1156,2014-01-01,-3.69,57.15
1158,1995-01-01,-4.45,57.32
1159,1935-01-01,-5.558428,57.175284
1160,2007-01-01,-2.45,57.12
1162,1991-01-01,-3.927145,57.781474
1163,2014-01-01,-2.72,57.17
1164,2018-01-01,-3.55,56.75
1166,2014-01-01,-3.69,57.15
1168,1995-01-01,-4.45,57.32
1169,1935-01-01,-5.558428,57.175284
1170,2007-01-01,-2.45,57.12
1172,1991-01-01,-3.927145,57.781474
1173,2014-01-01,-2.72,57.17
1174,2018-01-01,-3.55,56.75
1176,2014-01-01,-3.69,57.15
1178,1995-01-01,-4.45,57.32
1179,1935-01-01,-5.558428,57.175284
1180,2007-01-01,-2.45,57.12
1182,1991-01-01,-3.927145,57.781474
1183,2014-01-01,-2.72,57.17
1184,2018-01-01,-3.55,56.75
1186,2014-01-01,-3.69,57.15
1188,1995-01-01,-4.45,57.32
1189,1935-01-01,-5.558428,57.175284
1190,2007-01-01,-2.45,57.12
1192,1991-01-01,-3.927145,57.781474
1193,2014-01-01,-2.72,57.17
1194,2018-01-01,-3.55,56.75
1196,2014-01-01,-3.69,57.15
1198,1995-01-01,-4.45,57.32
1199,1935-01-01,-5.558428,57.175284
1200,2007-01-01,-2.45,57.12
1202,1991-01-01,-3.927145,57.781474
1203,2014-01-01,-2.72,57.17
1204,2018-01-01,-3.55,56.75
1206,2014-01-01,-3.69,57.15
1208,1995-01-01,-4.45,57.32
1209,1935-01-01,-5.558428,57.175284
1210,2007-01-01,-2.45,57.12
1212,1991-01-01,-3.927145,57.781474
1213,2014-01-01,-2.72,57.17
1214,2018-01-01,-3.55,56.75
1216,2014-01-01,-3.69,57.15
1218,1995-01-01,-4.45,57.32
1219,1935-01-01,-5.558428,57.175284
1220,2007-01-01,-2.45,57.12
1222,1991-01-01,-3.927145,57.781474
1223,2014-01-01,-2.72,57.17
1224,2018-01-01,-3.55,56.75
1226,2014-01-01,-3.69,57.15
1228,1995-01-01,-4.45,57.32
1229,1935-01-01,-5.558428,57.175284
1230,2007-01-01,-2.45,57.12
1232,1991-01-01,-3.927145,57.781474
1233,2014-01-01,-2.72,57.17
1234,2018-01-01,-3.55,56.75
1236,2014-01-01,-3.69,57.15
1238,1995-01-01,-4.45,57.32
1239,1935-01-01,-5.558428,57.175284
1240,2007-01-01,-2.45,57.12
1242,1991-01-01,-3.927145,57.781474
1243,2014-01-01,-2.72,57.17
1244,2018-01-01,-3.55,56.75
1246,2014-01-01,-3.69,57.15
1248,1995-01-01,-4.45,57.32
1249,1935-01-01,-5.558428,57.175284
1251,2014-01-01,-3.85,57.2
1252,2021-01-01,-4.33425,56.125639
1253,2004-01-01,-5.74,57.26
1254,2014-01-01,-2.43,57.11
1257,2018-01-01,-5.46,56.3
1260,2007-01-01,-2.45,57.12
1262,1991-01-01,-3.927145,57.781474
1263,2014-01-01,-2.72,57.17
1264,2018-01-01,-3.55,56.75
1266,2014-01-01,-3.69,57.15
1268,1995-01-01,-4.45,57.32
1269,1935-01-01,-5.558428,57.175284
1270,2007-01-01,-2.45,57.12
1272,1991-01-01,-3.927145,57.781474
1273,2014-01-01,-2.72,57.17
1274,2018-01-01,-3.55,56.75
1276,2014-01-01,-3.69,57.15
1278,1995-01-01,-4.45,57.32
1279,1935-01-01,-5.558428,57.175284
1282,1997-01-01,-3.94,56.72
1283,2016-01-01,-5.12,56.22
1284,2013-01-01,-2.71,57.18
1286,2021-01-01,-3.652795,55.23799
1287,1980-01-01,-5.342739,57.626178
1288,2018-01-01,-4.323431,55.946095
1289,2002-01-01,-5.22,58.24
1290,2007-01-01,-2.45,57.12
1292,1991-01-01,-3.927145,57.781474
1293,2014-01-01,-2.72,57.17
1294,2018-01-01,-3.55,56.75
1296,2014-01-01,-3.69,57.15
1298,1995-01-01,-4.45,57.32
1299,1935-01-01,-5.558428,57.175284
1302,1997-01-01,-3.94,56.72
1303,2016-01-01,-5.12,56.22
1304,2013-01-01,-2.71,57.18
1306,2021-01-01,-3.652795,55.23799
1307,1980-01-01,-5.342739,57.626178
1308,2018-01-01,-4.323431,55.946095
1309,2002-01-01,-5.22,58.24
1310,2007-01-01,-2.45,57.12
1312,1991-01-01,-3.927145,57.781474
1313,2014-01-01,-2.72,57.17
1314,2018-01-01,-3.55,56.75
1316,2014-01-01,-3.69,57.15
1318,1995-01-01,-4.45,57.32
1319,1935-01-01,-5.558428,57.175284
1322,1997-01-01,-3.94,56.72
1323,2016-01-01,-5.12,56.22
1324,2013-01-01,-2.71,57.18
1326,2021-01-01,-3.652795,55.23799
1327,1980-01-01,-5.342739,57.626178
1328,2018-01-01,-4.323431,55.946095
1329,2002-01-01,-5.22,58.24
1330,2007-01-01,-2.45,57.12
1332,1991-01-01,-3.927145,57.781474
1333,2014-01-01,-2.72,57.17
1334,2018-01-01,-3.55,56.75
1336,2014-01-01,-3.69,57.15
1338,1995-01-01,-4.45,57.32
1339,1935-01-01,-5.558428,57.175284
1340,2007-01-01,-2.45,57.12
1342,1991-01-01,-3.927145,57.781474
1343,2014-01-01,-2.72,57.17
1344,2018-01-01,-3.55,56.75
1346,2014-01-01,-3.69,57.15
1348,1995-01-01,-4.45,57.32
1349,1935-01-01,-5.558428,57.175284
1352,1997-01-01,-3.94,56.72
1353,2016-01-01,-5.12,56.22
1354,2013-01-01,-2.71,57.18
1356,2021-01-01,-3.652795,55.23799
1357,1980-01-01,-5.342739,57.626178
1358,2018-01-01,-4.323431,55.946095
1359,2002-01-01,-5.22,58.24
1360,2007-01-01,-2.45,57.12
1362,1991-01-01,-3.927145,57.781474
1363,2014-01-01,-2.72,57.17
1364,2018-01-01,-3.55,56.75
1366,2014-01-01,-3.69,57.15
1368,1995-01-01,-4.45,57.32
1369,1935-01-01,-5.558428,57.175284
1370,2007-01-01,-2.45,57.12
1372,1991-01-01,-3.927145,57.781474
1373,2014-01-01,-2.72,57.17
1374,2018-01-01,-3.55,56.75
1376,2014-01-01,-3.69,57.15
1378,1995-01-01,-4.45,57.32
1379,1935-01-01,-5.558428,57.175284
1380,2007-01-01,-2.45,57.12
1382,1991-01-01,-3.927145,57.781474
1383,2014-01-01,-2.72,57.17
1384,2018-01-01,-3.55,56.75
1386,2014-01-01,-3.69,57.15
1388,1995-01-01,-4.45,57.32
1389,1935-01-01,-5.558428,57.175284
1390,2007-01-01,-2.45,57.12
1392,1991-01-01,-3.927145,57.781474
1393,2014-01-01,-2.72,57.17
1394,2018-01-01,-3.55,56.75
1396,2014-01-01,-3.69,57.15
1398,1995-01-01,-4.45,57.32
1399,1935-01-01,-5.558428,57.175284
1400,2007-01-01,-2.45,57.12
1402,1991-01-01,-3.927145,57.781474
1403,2014-01-01,-2.72,57.17
1404,2018-01-01,-3.55,56.75
1406,2014-01-01,-3.69,57.15
1408,1995-01-01,-4.45,57.32
1409,1935-01-01,-5.558428,57.175284
1410,2007-01-01,-2.45,57.12
1412,1991-01-01,-3.927145,57.781474
1413,2014-01-01,-2.72,57.17
1414,2018-01-01,-3.55,56.75
1416,2014-01-01,-3.69,57.15
1418,1995-01-01,-4.45,57.32
1419,1935-01-01,-5.558428,57.175284
1420,2007-01-01,-2.45,57.12
1422,1991-01-01,-3.927145,57.781474
1423,2014-01-01,-2.72,57.17
1424,2018-01-01,-3.55,56.75
1426,2014-01-01,-3.69,57.15
1428,1995-01-01,-4.45,57.32
1429,1935-01-01,-5.558428,57.175284
1432,1997-01-01,-3.94,56.72
1433,2016-01-01,-5.12,56.22
1434,2013-01-01,-2.71,57.18
1436,2021-01-01,-3.652795,55.23799
1437,1980-01-01,-5.342739,57.626178
1438,2018-01-01,-4.323431,55.946095
1439,2002-01-01,-5.22,58.24
1440,2007-01-01,-2.45,57.12
1442,1991-01-01,-3.927145,57.781474
1443,2014-01-01,-2.72,57.17
1444,2018-01-01,-3.55,56.75
1446,2014-01-01,-3.69,57.15
